Track_duration(s);Popularity;Danceability;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Explicit;Energy
216.27;0;0.617;8;12.305;1;0.048;0.0158;0.112;0.408;0.504;111.458;4;0;0.872
237.12;64;0.825;2;5.995;1;0.149;0.0142;0.0000212;0.237;0.8;127.045;4;0;0.743
312.533;56;0.677;7;5.171;1;0.0305;0.56;0.00000101;0.338;0.706;74.981;4;0;0.665
233.4;42;0.683;9;8.92;1;0.259;0.568;0.0000508;0.0384;0.833;75.311;4;0;0.728
448.72;0;0.319;0;9.611;1;0.0687;0.675;0.0000729;0.289;0.497;85.818;4;0;0.627
193.346;79;0.671;9;7.724;1;0.0356;0.0393;0.0000112;0.0387;0.834;118.745;4;0;0.71
173.799;78;0.56;6;7.648;0;0.321;0.555;0;0.116;0.319;89.391;4;0;0.68
240.546;61;0.48;6;7.643;1;0.0262;0.174;0.0000328;0.0753;0.541;143.412;4;0;0.628
259.8;74;0.357;9;5.554;1;0.0654;0.0828;0;0.0844;0.522;176.647;4;0;0.653
208.733;0;0.562;11;4.934;0;0.0871;0.113;0;0.11;0.357;148.064;4;0;0.681
250.626;68;0.852;7;11.208;1;0.0427;0.0168;0.45;0.133;0.666;129.029;4;0;0.874
238.733;80;0.557;10;6.817;0;0.0252;0.0492;0;0.205;0.233;143.994;4;0;0.533
149.106;31;0.26;2;8.98;1;0.0625;0.114;0.0000295;0.499;0.537;184.38;4;0;0.659
344.773;0;0.652;6;15.445;0;0.0321;0.069;0.000197;0.0923;0.283;111.984;4;0;0.372
235.382;73;0.818;8;4.451;0;0.0472;0.304;0.00000122;0.0601;0.939;119.988;4;0;0.67
273.8;58;0.605;10;9.327;1;0.0358;0.24;0.000459;0.257;0.638;123.332;4;0;0.731
185.266;5;0.813;4;3.911;0;0.0494;0.166;0;0.121;0.923;112.962;4;0;0.754
122.958;6;0.483;6;9.883;1;0.145;0.805;0;0.161;0.878;140.11;4;1;0.533
189.32;15;0.736;2;13.837;1;0.0312;0.0165;0;0.166;0.96;102.021;4;0;0.563
226.76;0;0.637;2;7.595;1;0.0269;0.434;0;0.139;0.588;145.922;4;0;0.416
211.693;0;0.648;7;5.968;1;0.0797;0.0981;0.0000224;0.0712;0.856;103.272;4;0;0.936
278.987;68;0.261;5;8.19;0;0.0339;0.769;0.00000257;0.0863;0.0883;81.418;3;0;0.302
232.994;0;0.667;9;8.819;1;0.0348;0.117;0.000854;0.0707;0.905;133.867;4;0;0.66
249.369;0;0.364;5;9.188;0;0.0831;0.0748;0.000322;0.106;0.289;99.73;4;1;0.606
254.24;73;0.862;3;11.63;1;0.0565;0.0192;0.000153;0.0465;0.882;124.896;4;0;0.624
238.733;47;0.393;2;2.102;1;0.0871;0.00966;0;0.214;0.323;150.074;4;0;0.958
203.933;24;0.789;11;4.059;0;0.0361;0.00616;0;0.0646;0.821;103.957;4;0;0.84
235.946;0;0.677;7;5.32;1;0.0385;0.0612;0;0.353;0.297;134.052;3;0;0.604
168;33;0.609;11;8.208;1;0.0695;0.162;0.504;0.522;0.792;123.102;4;0;0.895
145.48;9;0.587;1;5.732;1;0.0283;0.381;0.00000101;0.105;0.96;98.137;4;0;0.65
213.36;44;0.66;11;5.338;1;0.0375;0.0808;0.00000348;0.15;0.862;103.395;4;0;0.88
149.786;50;0.307;11;3.427;0;0.138;0.00054;0.0000743;0.313;0.524;127.895;4;0;0.95
246.52;74;0.64;1;8.119;0;0.0345;0.0243;0.00000182;0.0497;0.793;122.902;4;0;0.852
231.2;0;0.607;4;4.748;1;0.0426;0.00122;0.000261;0.0624;0.533;141.985;4;0;0.905
223.24;0;0.466;5;6.142;1;0.0337;0.395;0;0.111;0.337;119.81;4;0;0.403
208.84;35;0.455;2;8.513;1;0.0399;0.761;0;0.0783;0.31;171.744;4;0;0.296
217.346;67;0.596;8;3.109;1;0.0411;0.109;0;0.0947;0.461;127.961;4;0;0.738
329.733;63;0.592;9;2.788;0;0.027;0.0021;0.00165;0.127;0.328;96.483;4;0;0.767
122.066;82;0.692;2;7.316;1;0.119;0.676;0;0.259;0.475;81.308;4;0;0.497
297.8;47;0.488;7;15.954;1;0.0321;0.0714;0;0.0756;0.544;79.707;4;0;0.364
235.133;74;0.659;4;7.499;0;0.0487;0.23;0;0.0951;0.888;83.014;4;0;0.812
159.184;28;0.706;2;10.526;1;0.411;0.226;0;0.0496;0.972;181.337;4;0;0.695
273.493;30;0.672;9;8.739;0;0.0477;0.551;0.0000105;0.105;0.319;130.086;4;0;0.393
230.6;64;0.68;5;14.876;1;0.141;0.857;0.000116;0.0881;0.796;111.62;4;0;0.543
150.106;0;0.553;7;9.03;1;0.0279;0.114;0;0.743;0.841;113.506;4;0;0.594
256.946;0;0.705;9;3.607;1;0.0309;0.0132;0.00428;0.0701;0.734;103.383;4;0;0.806
232.385;31;0.59;6;2.583;0;0.0263;0.0179;0.00000646;0.134;0.607;125.018;4;0;0.874
231.96;0;0.734;8;4.244;0;0.042;0.076;0.00134;0.0465;0.901;118.039;4;0;0.927
244.893;67;0.864;0;6.967;1;0.0367;0.571;0.0000792;0.0947;0.755;129.048;4;0;0.515
161.84;0;0.534;4;16.789;1;0.0335;0.0503;0.00213;0.281;0.767;139.867;4;0;0.327
162.106;11;0.483;9;10.271;1;0.0323;0.505;0.0000632;0.297;0.502;116.418;4;0;0.676
177.306;0;0.471;11;11.266;1;0.0509;0.802;0.00000255;0.0931;0.661;131.892;4;0;0.574
201;87;0.681;5;8.237;1;0.0432;0.64;0;0.169;0.476;91.873;4;0;0.372
143.834;22;0.485;5;7.84;0;0.0348;0.479;0;0.67;0.88;136.892;4;0;0.721
269.613;66;0.924;2;1.203;1;0.0792;0.107;0.00000145;0.129;0.67;114.003;4;0;0.853
