Artist Name(s);Album Name;Album Release Date;Track duration (s);Explicit;Popularity;Artist Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Label;Copyrights;;;
The KLF;Songs Collection;03/08/1992;216,27;0;0;acid house,ambient house,big beat,hip house;0,617;0,872;8;-12,305;1;0,048;0,0158;0,112;0,408;0,504;111,458;4;Jams Communications;C 1992 Copyright Control, P 1992 Jams Communications;;;0,21627
Pitbull;Pitbull Starring In Rebelution;23/10/2009;237,12;0;64;dance pop,miami hip hop,pop;0,825;0,743;2;-5,995;1;0,149;0,0142;0,0000212;0,237;0,8;127,045;4;Mr,305/Polo Grounds Music/J Records;P (P) 2009 RCA/JIVE Label Group, a unit of Sony Music Entertainment;;;0,23712
Britney Spears;,,,Baby One More Time (Digital Deluxe Version);12/01/1999;312,533;0;56;dance pop,pop;0,677;0,665;7;-5,171;1;0,0305;0,56;0,00000101;0,338;0,706;74,981;4;Jive;P (P) 1999 Zomba Recording LLC;;;0,312533
The Kinks;Lola vs, Powerman and the Moneygoround, Pt, One + Percy (Super Deluxe);20/10/2014;233,4;0;42;album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter;0,683;0,728;9;-8,92;1;0,259;0,568;0,0000508;0,0384;0,833;75,311;4;Sanctuary Records;C © 2014 Sanctuary Records Group Ltd,, a BMG Company, P ? 2014 Sanctuary Records Group Ltd,, a BMG Company;;;0,2334
The Rolling Stones;Let It Bleed;05/12/1969;448,72;0;0;album rock,british invasion,classic rock,rock;0,319;0,627;0;-9,611;1;0,0687;0,675;0,0000729;0,289;0,497;85,818;4;Universal Music Group;C © 2002 ABKCO Music & Records Inc,, P ? 2002 ABKCO Music & Records Inc,;;;0,44872
Fleetwood Mac;Rumours;04/02/1977;193,346;0;79;album rock,classic rock,rock,soft rock,yacht rock;0,671;0,71;9;-7,724;1;0,0356;0,0393;0,0000112;0,0387;0,834;118,745;4;Rhino/Warner Records;C © 2004 Warner Records Inc,, P ? 2004 Warner Records Inc,;;;0,193346
benny blanco, Halsey, Khalid;Eastside (with Halsey & Khalid);12/07/2018;173,799;0;78;pop,electropop,etherpop,indie poptimism,pop,pop,pop r&b;0,56;0,68;6;-7,648;0;0,321;0,555;0;0,116;0,319;89,391;4;Benny Blanco Solo Album PS;C © 2018 Friends Keep Secrets/Interscope Records, P ? 2018 Friends Keep Secrets/Interscope Records;;;0,173799
Elton John;Candle In The Wind 1997 / Something About ,,,;01/01/1997;240,546;0;61;glam rock,mellow gold,piano rock,rock;0,48;0,628;6;-7,643;1;0,0262;0,174;0,0000328;0,0753;0,541;143,412;4;EMI;C © 1997 Mercury Records Limited, P This Compilation ? 1997 Mercury Records Limited;;;0,240546
Foreigner;4 (Expanded);01/01/1981;259,8;0;74;album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,rock,soft rock;0,357;0,653;9;-5,554;1;0,0654;0,0828;0;0,0844;0,522;176,647;4;Rhino Atlantic;C © 2002 Atlantic Recording Corp,, marketed by Rhino Entertainment Company, a Warner Music Group company, P ? 2002 Atlantic Recording Corp,;;;0,2598
Shawn Mendes;Illuminate (Deluxe);23/09/2016;208,733;0;0;canadian pop,pop,viral pop;0,562;0,681;11;-4,934;0;0,0871;0,113;0;0,11;0,357;148,064;4;Universal Music Group;C © 2016 Island Records, a division of UMG Recordings, Inc,, P ? 2016 Island Records, a division of UMG Recordings, Inc,;;;0,208733
